Pressure (bar),Altitude (m),Kz (cm2/s),LHF,qt,qc,ndz,rg (µm),reff (µm),rw (µm)
26.299979999999998,77776.03945500299,98147822818.73721,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
26.49998,77367.15532707206,98198759472.88206,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
26.69998,76963.457959917,98250328750.63638,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
26.89998,76564.84403057858,98299796495.66762,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
27.099980000000002,76171.2127051978,98350176737.76707,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
27.299979999999998,75782.46608262132,98399676064.4449,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
27.49998,75398.50855169528,98449396495.60156,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
27.69998,75019.24670304399,98498490249.11884,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
27.89998,74644.58871554337,98547077765.68633,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
28.099980000000002,74274.44803644481,98594282143.93758,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
28.299979999999998,73908.73896422316,98643212447.94395,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
28.49998,73547.35026502595,98690998539.643,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
28.69998,73190.24119893924,98712414737.36055,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
28.89998,72837.33131885198,98785562279.27966,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
29.099980000000002,72488.52978438468,98831558096.36531,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
29.299979999999998,72143.76213111043,98877853121.54553,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
29.49998,71802.95386785125,98924563752.4528,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
29.69998,71466.0345171209,98969725831.78403,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
29.89998,71132.9319698115,99016557414.94211,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
30.099980000000002,70803.57950374097,99059936506.11607,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
30.299979999999998,70477.91018212182,99106247321.24826,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
30.49998,70155.8583106397,99150330252.79956,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
30.69998,69837.3618604283,99194382479.36893,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
30.89998,69522.35797280972,99239572778.41647,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
31.099980000000002,69210.78587424083,99282781804.9994,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
31.299979999999998,68902.58634182019,99326237663.77818,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
31.49998,68597.70307800343,99368947878.33116,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
31.69998,68296.07836053833,99413177721.61438,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
31.89998,67997.6577828261,99454644139.84357,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
32.09998,67702.38829681127,99497807591.11897,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
32.29998,67410.21629732709,99540560441.87875,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
32.49998,67121.0899528376,99581865605.58076,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
32.69998,66834.96099372384,99622903347.36316,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
32.89998,66551.7786692935,99666000288.60454,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
33.09998,66271.49570941164,99705614898.07906,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
33.29998,65994.06553354856,99747451162.20763,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
33.49998,65719.44221392731,99788195871.20293,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
33.69998,65447.580464336505,99829054140.11368,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
33.89998,65178.436503909186,99868950278.53479,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
34.09998,64911.96801715862,99909099338.84483,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
34.29998,64648.131918532716,99949576166.00294,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
34.49998,64386.887856070054,99988122058.64055,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
34.69998,64128.1951103521,100028294353.27065,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
34.89998,63872.01517783449,100066652364.2803,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
35.09998,63618.30829315249,100106784056.12444,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
35.29998,63367.037284372214,100144029894.86745,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
35.49998,63118.165820988055,100183184745.6109,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
35.69998,62871.657537476705,100221942632.16444,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
35.89998,62627.47603780324,100260360359.71333,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
36.09998,62385.586976806415,100297286627.42949,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
36.29998,62145.956766605275,100335187863.9436,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
36.49998,61908.552138876374,100372918186.70578,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
36.69998,61673.340547560205,100410533622.64256,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
36.89998,61440.28851946546,100448090009.78981,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
37.09998,61209.366539309056,100483176032.29494,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
37.29998,60980.54290864128,100522008145.57025,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
37.49998,60753.78739479203,100557227466.79767,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
37.69998,60529.07041055275,100593836342.46065,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
37.89998,60306.36378116753,100629397977.93523,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
38.09998,60085.63834549861,100666469066.03242,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
38.29998,59866.86672245547,100701328188.62172,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
38.49998,59650.02093044335,100737805159.98128,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
38.69998,59435.07472537609,100772147869.76245,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
38.89998,59222.00124545579,100808216183.47537,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
39.09998,59010.77532591865,100842227378.87454,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
39.29998,58801.37193404205,100878071306.017,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
39.49998,58593.765016104284,100913228931.24821,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
39.69998,251715.01241091298,100946438772.73944,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
40.399975,305008.36318875814,101060628136.3252,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
41.49997,280919.6028604286,101248818185.56264,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
42.49997,276345.16121864476,101411416971.69104,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
43.49997,271947.65581584565,101571002863.94958,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
44.49997,267716.4545613798,101726302542.4147,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
45.49997,263641.7784263522,101878754672.97186,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
46.49997,259714.61888778114,102027507202.6154,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
47.49997,255926.66443337259,102173128297.44252,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
48.49997,252270.2343194097,102315637990.0342,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
49.49997,248738.21283213113,102455412140.09853,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
50.49997,245324.00876837957,102591984741.08092,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
51.49997,242021.49095664162,102726542949.50603,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
52.49997,238824.96465196175,102857565498.90314,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
