pressure_bar,pressure_cgs,temperature_K,altitude_cm,qc,qt,rg_cm,reff_cm,rw_cm,ndz_cm^-2,kz_cm2_s
5.5e-06,5.5,281.8697266472759,229168.58838711437,0.0,0.000134,0.0,0.0,0.0,0.0,89155971014.65479
5.7e-06,5.699999999999999,284.9579256862071,223657.24280212808,0.0,0.000134,0.0,0.0,0.0,0.0,89320798966.2241
5.9e-06,5.9,287.96945191721744,218456.8233490525,0.0,0.000134,0.0,0.0,0.0,0.0,89481592304.85991
6.1e-06,6.1,290.9087710661124,213540.38448965916,0.0,0.000134,0.0,0.0,0.0,0.0,89638989967.99358
6.300000000000001e-06,6.300000000000001,293.77996523499144,208884.06805755367,0.0,0.000134,0.0,0.0,0.0,0.0,89793633256.79303
6.5e-06,6.5,296.586752459693,204639.47777233145,0.0,0.000134,0.0,0.0,0.0,0.0,89944459255.87215
6.699999999999999e-06,6.699999999999999,299.5254057279461,200512.73888499627,0.0,0.000134,0.0,0.0,0.0,0.0,102812405169.3348
6.9e-06,6.9,302.3916799359567,196497.53751354726,0.0,0.000134,0.0,0.0,0.0,0.0,89489544072.63977
7.1e-06,7.1,305.0024185052254,192672.3839252756,0.0,0.000134,0.0,0.0,0.0,0.0,89677248163.48482
7.3e-06,7.300000000000001,307.56240852502077,189023.3346121833,0.0,0.000134,0.0,0.0,0.0,0.0,89844092152.49474
7.5e-06,7.5,310.07382894575966,185537.87564965992,0.0,0.000134,0.0,0.0,0.0,0.0,90011519227.23381
7.699999999999999e-06,7.699999999999999,312.53892642426564,182204.657071436,0.0,0.000134,0.0,0.0,0.0,0.0,90174864804.9301
7.9e-06,7.9,314.9597284622878,179007.50669035286,0.0,0.000134,0.0,0.0,0.0,0.0,90334484474.49075
8.099995e-06,8.099995,317.33812244892425,175951.91456202773,0.0,0.000134,0.0,0.0,0.0,0.0,90494711500.47607
8.299990000000001e-06,8.299990000000001,319.67587252674724,173020.20767193375,0.0,0.000134,0.0,0.0,0.0,0.0,90642529831.93536
8.499990000000001e-06,8.49999,321.97463083905706,170201.75743787235,0.0,0.000134,0.0,0.0,0.0,0.0,90791671129.35849
8.699989999999999e-06,8.69999,324.2359411551043,167492.3896132402,0.0,0.000134,0.0,0.0,0.0,0.0,90937302115.64116
8.899989999999999e-06,8.899989999999999,326.46125210376505,164885.54633935975,0.0,0.000134,0.0,0.0,0.0,0.0,91080007050.25406
9.09999e-06,9.09999,328.6519274069904,162375.19954817306,0.0,0.000134,0.0,0.0,0.0,0.0,91219661389.93335
9.299990000000002e-06,9.299990000000001,330.809250950444,159955.79492392397,0.0,0.000134,0.0,0.0,0.0,0.0,91356682637.12079
9.49999e-06,9.49999,332.934431687319,157622.2074332445,0.0,0.000134,0.0,0.0,0.0,0.0,91490805591.3936
